Jäällä [MASK] avaa aina hauskoja ja erikoisia näkökulmia kaupunkiin .	kävely
Ja [MASK] mittaa mittaamistaan , että kaikki on suorassa , niin perkeleen suorassa , että saa muut isännät näyttämään metroseksuaaleilta siviilipalvelusmiehiltä .	luolamies
[MASK] teen .	Minä
[MASK] vastasi , että totta kai .	Mies
Tuskallisen odotuksen jälkeen [MASK] kakisteli , että ” oli kiva että menit tavalliseen työpaikkaan ” .	hän
Käsikirjoittajan vaihtelevat [MASK] eivät siis kelvanneet ja nyt mies taputti lapion kokoisia kämmeniään , että istuin jälleen normaalissa toimittajan penkissä ja pääsääntöisesti virka-aikana .	työt
[MASK] – itse sitä tajuamatta – vastasi olevansa ylpeän sijaan TYYTYVÄINEN .	Mies
Nyt [MASK] tietää , että ruoka on varmasti jo valmiina , kun hän saapuu kotiin .	mies
[MASK] tietää , mihin aikaan lähden ja mihin aikaan tulen .	Hän
[MASK] tietää koko ajan , missä olen , enkä koskaan ole pitkää aikaa puhelimen tavoittamattomissa .	Hän
Tätä [MASK] ei ollut odottanut .	mies
[MASK] ajatteli , että muotitoimittajana istun vain nättinä studiossa ja ajan heti työpäivän jälkeen kotiin .	Hän
Kyllä [MASK] osaan tehdä omin käsin .	minäkin
[MASK] , että jokin lopputulos ei ole suunnitelmien mukainen , ei tarkoita , että siinä olisi mitään vikaa .	Se
Mutta [MASK] tulee olla hyvää ja puhdasta – pikaruokaketjut , einekset ja puolivalmisteet saavat minut hurjistumaan .	sen
[MASK] katsoi kauhuissaan mutta ei yllättyneenä kun latasin koriin puolitoista kiloa erilaista spelttejä , rouheita ja epäilyttävän nimisiä teepusseja .	Mieheni
[MASK] kyllä väitti , että kyseessä on maakaasupumppaamo , mutta hän on väärässä .	Mies
Tänään aamulla [MASK] alkoi kesken aamiaisen nauraa .	mies
[MASK] korjaa lukulaseja nenällään ja katsoo kädessä pitämäänsä Spelt Manna –purkkia .	Pikkuvaimo
Mistä [MASK] pitävät ja mistä eivät .	he
[MASK] ei laita koskaan tomaatteja ja kurkkuja samalle leivälle .	Mieheni
Kolmas tärkeä [MASK] asettaa juuston leikkeleen alle , eli juuri toisin päin kuin itse tekisin .	ihminen
[MASK] maistui mielestäni selvästi erilaiselle , kuin sellainen , jossa juusto olisi ollut päällä .	Leipä
[MASK] kiinnittää huoliteltuun naiseen huomiota .	Mies
Viimeistään harmaaksi pestyt [MASK] lannistavat urheankin ritarin .	alusvaatteet
[MASK] saavat harvoin kuninkaallista saattuetta kiimaisen tuhmaseksin valtakuntaan .	Variksenpelättimet
[MASK] muistan , mitä minulla oli päällä , kun iskin mieheni .	Minä
Tämä [MASK] toimi , sillä siinä vaiheessa kun avaimet oli vaihdettu , uskalsin jo kysyä , että ” mitä sä musta ajattelit , kun ekan kerran näit ? ” .	setti
Tuohon [MASK] vastasi , että ” mä rakastan sua ” .	mies
Seurustelun alkuaikoina [MASK] pyörittää upean näköistä daamiaan rinta pörheänä pitkin kyliä , ikään kuin kadehdittavaa sotasaalista .	mies
[MASK] alkaa esittää toivomuksia , että rouva pukeutuisi muotoja korostavan kynähameen sijaan säkkiin .	Mies
Oma [MASK] sanoo jo ihan suoraan , että ” onko pakko lähteä noin antavassa asussa ulos ” ja tulee korjaamaan paitapuseroni ylimmänkin napin kiinni .	mieheni
[MASK] ai saanut sanaa suusta ennen kuin kaasuttelin jo tyytyväisenä kohti pääkaupunkia .	Mies
Nopeasti lisääntyvä sähköisten maksuvälineiden [MASK] aiheuttaa useita ongelmia .	käyttö
[MASK] koskee esimerkiksi määräyksiä vastuusta kortin kadotessa tai lisääntyvästä Internetissä käytävästä vähittäiskaupasta .	Tämä
[MASK] voivat kuitenkin hävittää korttinsa jossain muussa kuin 15 EU-maassa , eikä Internet-myyntikään rajoitu vain EU-maihin .	Ihmiset
[MASK] pitääkin toimia äärimmäisen varovaisesti sekä etukäteen , tarkkailijoiden lähettämisestä päätettäessä , että kohdemaassa tapahtuvassa valvonnassa ja raportoinnissa .	Meidän
Tällä hetkellä [MASK] perustuu vielä liikaa improvisointiin .	toiminta
Erilaisten [MASK] pitäisi myös tehdä nykyistä tiiviimmin yhteistyötä .	tarkkailuryhmien
[MASK] myös saapuvat kohdemaahan liian usein liian myöhään ja poistuvat sieltä liian aikaisin .	Vaalitarkkailijat
Suuri [MASK] vaalien manipuloinnista tapahtuu etukäteen , vaaliluetteloita sormeilemalla tai opposition kokouksia kieltämällä .	osa
Joskus [MASK] lähtee väärille urille sen jälkeen , kun valtion päämies kieltäytyy alistumasta vaalitulokseen , kuten tapahtui Togossa .	prosessi
Arvoisa puhemies , Labour-puolueeseen kuuluvat Euroopan parlamentin [MASK] tukevat pohjavesisäännöksiä , mutta mielestämme osa valiokunnassa esitetyistä tarkistuksista oli liian kahlitsevia ja etäännytti pohjavesidirektiivin vesipuitedirektiivin säännöksistä .	jäsenet
Arvoisa puhemies , arvoisa komission jäsen , hyvät kollegat , tämän mietinnön osalta [MASK] ovat edenneet oikein hyvin .	asiat
[MASK] ja neuvosto hyväksyivät suurimman osan niistä kohdista , joita parlamentti pyysi ensimmäisessä käsittelyssä .	Komissio
Nyt myös muun muassa [MASK] on sovellettava direktiiviä , ja me olemme saaneet siihen mukaan yhteiskäsitteen , jotta tiedämme , mistä puhumme .	käyttäjäkunnan
[MASK] merkitsee sitä , että liian suuria määriä esimerkiksi dioksiinipitoisuuksia sisältävää rehua ei voi laimentaa jonkin muun rehun kanssa , jotta raja-arvot eivät ylittyisi .	Se
[MASK] merkitsee , että jos esimerkiksi jokin meijeri havaitsee , että maidossa olevan mykotoksiinin , joka on sienimyrkky , pitoisuus kasvaa , tutkimuksiin voidaan ryhtyä , vaikka ei olekaan vielä ylitetty sitä rajaa , jolloin aine muuttuu vaaralliseksi .	Tämä
[MASK] on hyväksynyt kaiken , yhtä kysymystä lukuun ottamatta , joka meidän on nyt valiokunnassa ollut pakko ottaa jälleen esille , nimittäin kysymyksen siitä , saadaanko sopimaton rehu palauttaa esimerkiksi kolmannen maailman valtioille vai ei .	Neuvosto
[MASK] olen valiokuntani tavoin sitä mieltä , että on täysin moraalitonta palauttaa tällä lailla tuotteita , jotka eivät täytä direktiivissä asetettuja vaatimuksia .	Minä
[MASK] emme silloin tiedä , minne tuotteet päätyvät , käytetäänkö niitä köyhimmillä alueilla vai päätyvätkö ne suorastaan takaisin omille markkinoille toisessa muodossa .	Mehän
Sen vuoksi [MASK] päätti esittää tarkistuksia , jotka estävät tällaisen rehujen palauttamisen .	valiokunta
Tämän jälkeen [MASK] ja neuvosto ehdottivat neuvotteluja puheenjohtajavaltio Belgian johdolla .	komissio
Laatimamme kompromissitarkistuksen [MASK] vastaa täysin esittelijä Whiteheadin mietinnön sanamuotoa .	sanamuoto
Kun tarkastellaan muun muassa tietoon perustuvan talouden kehittämistä – yksi yhteisön toimien päätavoitteista – raaka-aineiden tai suurten markkina-alueiden [MASK] ei niinkään enää vaikuta ihmisten asuinpaikan valintaan vaan pikemminkin luonnonkauneus ja lähialueiden palvelut .	läheisyys
Otettuamme siis " yksi rahasto yhtä ohjelmaa kohden " -periaatteen käyttöön vuosien 2007–2013 rahoitusnäkymissä [MASK] on edistettävä alueellista koheesiopolitiikkaa lisätäksemme sen avulla olennaisia voimavaroja , kuten näissä kahdessa mietinnössä on aivan oikein tehty , ja sisällytettävä se laajasti Euroopan unionin koheesiopolitiikan ensisijaisiin tavoitteisiin .	meidän
[MASK] muodostavat suurimman osan EU: n viennistä .	Teollisuustuotteet
[MASK] tarkoittaa , että erityisesti nykyiset pienten yritysten kasvun esteet pitää raivata pois tieltä .	Se
Talouden [MASK] lisää uudistusvaatimuksia .	maailmanlaajuistuminen
Kuten sanottu , [MASK] sai läpi suurimman osan tarkistuksistamme , mutta olisimme toivoneet näkevämme , että olisi selkeämmin painotettu sellaisten hyvin toimivien markkinoiden tärkeyttä , joilla on tehostettava toimia vääristävää valtion tukea ja monopoleja vastaan .	puolueryhmämme
[MASK] antoivat oppositiolle ja koko Etiopian kansalle äänen , jota niillä ei ennen ole ollut , mikä on pääministeri Meles Zenawille kunniaksi .	Vaalit
Jonottavat [MASK] osoittivat pitkään suosiotaan parlamentin lähettämälle valtuuskunnalle ja siksi EU:n vaalitarkkailuvaltuuskunnan jäsenet tuntevat suurta vastuuta .	äänestäjät
[MASK] ei voi tietää vaalituloksia varmasti , sillä prosessissa koettiin vakavia vaikeuksia ääntenlaskuvaiheessa .	Kukaan
Nuo [MASK] ja valitukset huolestuttivat kansalaisia ja johtivat kesäkuun 6. , 7. ja 8. päivän traagisiin tapahtumiin , joihin vaalitarkkailuvaltuuskunta otti heti julkisesti kantaa .	viivästykset
[MASK] johtaisi väkivallan sekä poliittisen ja taloudellisen sekasorron kierteeseen .	Se
[MASK] on kehittymässä menestyksekkäästi talouskasvualueeksi , jolla on merkitystä , ja meidän onkin pohdittava , mitä vaikutuksia on eurooppalaisten työpaikkojen ulkoistamisella Intiaan .	Intia
Myös Intian ja Pakistanin vaikeat [MASK] ansaitsevat enemmän huomiota , enkä viittaa tällä ainoastaan Kashmirin kysymykseen .	suhteet
Sitä [MASK] ei tarvitse muuttaa .	meidän
Euroopan [MASK] saa siitä tietoa koko ajan .	parlamentti
[MASK] ei tietenkään riipu pelkästään meidän hyvästä tahdostamme - ja se on oikeastaan kaikkien näiden töiden varsinainen este , teollisen yhteistyön alallakin - vaan se riippuu myös kumppanivaltioiden hyvästä tahdosta .	Tulos
[MASK] Välimeren alueen kumppaneista suhtautuvat varmasti erittäin myönteisesti kaikkiin näihin toimiin .	Jotkin
[MASK] haluaisivat kovasti , mutta eivät mitä erilaisimmista syistä voi , ja meidän on todennäköisesti hyväksyttävä monenlaisia tuloksia .	Toiset
[MASK] ei riipu sitten kuitenkaan meistä , vaan se riippuu itse kumppanivaltioista .	Sehän
[MASK] teemme joka tapauksessa kaiken , mikä on tarpeen hyvään lopputulokseen pääsemiseksi .	Me
Arvoisa neuvoston puheenjohtaja , ryhmätoverini [MASK] Ángel Martínez ja minä , jotka olemme yhdessä seuranneet poliittista elämää vuodesta 1977 alkaen , olemme keskustelleet paljon näistä asioista , ja haluaisinkin esittää muutaman täydennyksen .	Miguel
Ensinnäkin [MASK] haluaa näin sen ilmaisi parlamentin valtuuskunnalle ulkoministeri Pérez Roque Euroopan unionin takaavan , että jos se pyytää pääsyä AKT-maiden joukkoon , Euroopan unioni ei vastusta sitä .	Kuuba
Ennen hakemuksen esittämistä [MASK] haluaa muodolliset takeet siitä , että ei sen liittymistä vastusteta .	se
Eräs [MASK] kaipaa korostusta .	kohtaa
[MASK] on varmistettava , että sääntelymekanismimme toimivat , ja meidän on tarkoin käsiteltävä riskejä ja uhkia sekä ratkaistava oikein tekniset pulmat .	Meidän
[MASK] on varmistettava , että syrjäisille seuduille annetaan tämä mahdollisuus .	Meidän
[MASK] seuraa neuvoston ja IAEA:n viimeaikaisten lausuntojen linjaa .	Päätöslauselmamme
[MASK] osoittaa , että keinoja , joilla Iraniin voidaan vaikuttaa , on tosiasiassa hyvin vähän .	Tämä
Millaisia vastauksia nämä [MASK] ovat saaneet ?	järjestöt
[MASK] toteaa 24. syyskuuta antamassaan päätöslauselmassa aivan oikein , että Iranin toiminta horjuttaa muun maailman luottamusta siihen ja että seuraavaksi asia annetaan YK:n turvallisuusneuvoston käsiteltäväksi .	IAEA
[MASK] johtunee siitä , että neuvosto ja parlamentti eivät ole vakuuttuneita YK:n turvallisuusneuvoston halusta tehdä päätöksiä Iranin ydinohjelman suhteen .	Tämä
[MASK] on pyrittävä saamaan huippukokouksessa aikaan edistystä , ja olen tyytyväinen neuvoston ja komission tämänpäiväisiin julkilausumiin .	Meidän
Esittelijänä [MASK] on kuitenkin todettava , että meiltä on mennyt liian kauan päästä tähän , missä nyt olemme .	minun
Arvoisa komission jäsen , [MASK] on korostettava sitoumustamme tähän lausekkeeseen .	meidän
Olipa kysymys siis tuhansista kadonneista tai Jammun ja Kashmirin joukkohaudoista tai kristittyjen murhaamisesta Orissassa ja heihin kohdistuvista hyökkäyksistä , [MASK] on edelleen sitouduttava ihmisoikeuksiin ehdoitta ja varauksetta .	meidän
Arvoisa puhemies , [MASK] haluan vuorollani kiittää herra Perryä hänen mietinnöstään .	minä
Toki [MASK] on tässä kohdin ymmärrettävä , että se on koko valiokunnan yhteinen työ , kuten sen yksimielinen hyväksyntäkin osoittaa , samoin kuin sen luova täydentäminen tarkistuksin työn aikana .	meidän
Perryn [MASK] antaakin viimevuotisen Gutiérrez Díazin ja vuoden 1995 Kuhnin mietintöjen jälkeen todellista syvyyttä tälle vetoomusvaliokunnalle .	mietintö
Tämä kansalaisen [MASK] välittömään yhteyteen Euroopan parlamentin kanssa sallii käytännössä eurooppalaisen arkielämän tutkimisen .	mahdollisuus
[MASK] paljastaa yhteisön kansalaisen usein epäsuotuisan jokapäiväisen todellisuuden .	Se
Nimittäin tämän valiokunnan parlamentaarinen [MASK] Euroopan parlamentissa , Euroopan kansalaisen oikeuksien suojeleminen ja vaaliminen antaa mahdollisuuden toimia yhteisesti institutionaalisena välittäjäelimenä .	merkitys
[MASK] pitää selvästikin tehostaa satamapalveluja , ja juuri siihen tällä aloitteella pyritään .	Meidän
[MASK] on tehostettava näitä palveluja , päästävä eroon monopoleista , joiden vuoksi joissain tapauksissa kyseiset palvelut maksavat jossakin EU:n satamassa 3-4 kertaa enemmän kuin jossakin toisessa , mikä puolestaan tarkoittaa sitä , että jossakin on jotakin vikaa .	Meidän
[MASK] niistä parantavat selvästi neuvoston yhteistä kantaa ja näin ollen komissio hyväksyy ne kokonaisuudessaan , periaatteessa tai osittain .	Jotkin
[MASK] tarkoittaa sitä , että komissio pyrkii jälleen kerran siihen , että yhteispäätösmenettely toimii mahdollisimman hyvin .	Tämä
Jäsen Jarzembowski , [MASK] ymmärtää , että parlamentti on asiasta huolissaan .	komissio
[MASK] on selvennettävä asia , jotta voisimme välttää , kuten jo sanoin , oikeudelliset epäilykset ja epävarmuudet .	Meidän
Jäsen Jarzembowski , tästä syystä [MASK] on sanottava , että tarkistus 15 menee pidemmälle kuin nämä säännökset , emmekä voi sitä hyväksyä .	minun
Tässä mielessä [MASK] 10 asianmukaisesti muutettuna siten , että siihen tehdään joitakin tärkeitä mukautuksia , jotka ovat sopusoinnussa mahdollisesti löytämämme ratkaisun kanssa , voisi antaa meille mahdollisuuden päästä kompromissiin muotoilusta .	tarkistus
Tarkistuksen 16 osalta [MASK] on muistutettava teitä , että komissio teki niin kutsuttujen " satamatoimenpiteiden " yhteydessä siltä pyydetyn tutkimuksen , ja satamien yhteistyöhalu oli valitettavasti heikkoa .	minun
Toiseksi jäsen [MASK] on puhunut itsekäsittelystä .	Jarzembowski
[MASK] haluaa lähettää viestin edistymisestä antaen kuitenkin kaikki tarvittavat takuut .	Se
[MASK] antaa selvästi ymmärtää , että tämäntyyppisessä toiminnassa on noudatettava kaikissa satamissa edellytettyjä sosiaali- , ympäristö- ja turvallisuussääntöjä ja että tämä vaatimus on keskeinen , jotta tämä itsekäsittelyä koskeva kysymys voidaan käsitellä loppuun .	Se
Euroopan unionin lipun alla purjehtiviin aluksiin kohdistuvat ylimääräiset [MASK] asettaisivat yhteisön ristiriitaiseen asemaan muun maailman kumppaneidensa kanssa , mitä on myös vältettävä .	rajoitukset
[MASK] on osoittanut aina valmiutta pyrkiä löytämään rakentavia ratkaisuja Euroopan parlamentin kanssa .	Komissio
Ajoneuvoon asennettu [MASK] aktivoituu törmäyksen vaikutuksesta ja lähettää Euroopan laajuisen hätänumeron 112 kautta tiedon ajoneuvon sijainnista , nopeudesta ja omistajasta lähimmälle poliisille , palolaitokselle ja sairaanhoitopalveluun .	anturi
[MASK] Kanadan ja EU: n välille syntyi 1995 , kun kalakannat siirtyivät Kanadan 200 merimailin aluevesirajan ulkopuolelle ja kanadalaiset päättivät suojella kalakantoja aluevesirajansa ulkopuolella .	Riita
[MASK] hyväksyi sen , että ei ekstraterritoriaalista kalastuslainsäädäntöä sovelleta kalastukseen NAFOn kansainvälisillä vesialueilla .	Kanada
[MASK] kannattaa täysin satelliittiseurantaa koskevaa kokeiluhanketta .	Ryhmäni
Vain nämä kaksi [MASK] käsi kädessä määrittelevät uuden Euroopan .	käsitettä
Niiden [MASK] voi johtua huonosta valintamenettelystä , nuorten ja ohjelmien virheellisestä yhdistämisestä tai nuorten ohjauksen puutteesta vapaaehtoispalvelun lopulla , jolla kanavoitaisiin heidän hankkimansa tiedot ja taidot , ja viimeisenä , last but not least , kansallisten hallitusten huonosta oman roolinsa ymmärtämisestä .	muuttuminen
Mielestäni [MASK] täytyy pyrkiä kohti pitkän tähtäimen suunnitelmia , jotta siitä saatavat kokemukset olisivat tarpeeksi merkittäviä ja kestäviä .	vapaaehtoispalvelun
Tällöin lopullinen [MASK] kuuluisi :	lause
Valitettavasti [MASK] täytyy sanoa , että teille annettu tieto ei yksinkertaisesti pidä lainkaan paikkaansa .	minun
Arvoisa puhemies , [MASK] itse äänestin Watsonin eurooppalaisen pidätysmääräyksen käyttöönottoa koskevan mietinnön puolesta , vaikka olenkin hyvin huolissani , että tässä mietinnössä sanotaan , että niiden syyttäjien , joilla on tähän oikeus , voivat soveltaa tätä pidätysmääräystä myös sellaisiin rikoksiin , josta voi määrätä neljän kuukauden mittaisen rangaistuksen .	minä
Kaksoistorneihin kohdistettu hirveä [MASK] sai aikaan sen , että vihdoinkin tämän eurooppalaisen pidätysmääräyksen luomisessa alettiin edistyä , mutta kun näen , että sitä sovelletaankin " kanavarkaiden " kohdalla , tulen jotenkin surulliseksi .	attentaatti
[MASK] on ottanut tehtäväkseen laatia ehdotuksen vuoden 1987 komitologiamenettelyn uudistamiseksi .	Komissio
[MASK] on parlamentin pyynnöstä lupautunut tekemään sen jo vuoden 1998 kesäkuussa .	Komissio
[MASK] ilmenee eräästä komission puheenjohtajan Santerin Euroopan parlamentin puhemies Gil-Roblesille 11. marraskuuta 1997 lähettämästä kirjeestä .	Tämä
[MASK] tarkoittaa sitä , että tätä kysymystä koskevan sovittelumenettelyn esteet voitiin poistaa .	Tämä
Direktiivin [MASK] tarkoittaa heti huomattavaa askelta kohti parempaa ympäristöä , niin ilmanlaadun kuin kansanterveydenkin osalta .	voimaantulo
Arvoisa puhemies , [MASK] päätti kollegiona 9. kesäkuuta 2004 irtisanoa lähes välittömästi 43 kieltenopettajaa .	komissio
Yhdeksän päivää myöhemmin asiasta vastaavat [MASK] ilmoittivat päätöksestä kieltenopettajille Brysselin yleiskokouksessa .	virkamiehet
Maaliskuussa 1997 tehdyssä kolmikantasopimuksessa [MASK] osoittivat halukkuutensa tehdä yhteistyötä vastauksena komission lupaukseen jatkaa heidän työsopimuksiaan eläkeikään asti .	opettajat
